Country,Measure,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total_arrivals_sum
Finland,Total arrivals,Thousands,3789.00,4252.00,4687.00,4527.00,4854.00,5038.00,5345.00,5736.00,6072.00,5695.00,6182.00,7260.00,7636.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71073.00
France,Total arrivals,Thousands,0.00,0.00,0.00,0.00,190282.00,185829.00,193882.00,193319.00,193571.00,192369.00,189826.00,196595.00,197522.00,204410.00,206599.00,203302.00,203042.00,207274.00,211998.00,217877.00,117109.00,3304806.00
Gabon,Total arrivals,Thousands,230.00,236.00,269.00,234.00,351.00,526.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1846.00
Gambia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,459.00,460.00,613.00,487.00,643.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2662.00
Georgia,Total arrivals,Thousands,387.00,302.00,298.00,313.00,368.00,560.00,983.00,1052.00,1290.00,1500.00,2032.00,2712.00,4106.00,4954.00,5004.00,5256.00,5393.00,6483.00,7203.00,7726.00,1513.00,59435.00
Germany,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ghana,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Greece,Total arrivals,Thousands,13567.00,14678.00,14918.00,14785.00,14268.00,15938.00,17284.00,0.00,0.00,0.00,0.00,0.00,0.00,20112.00,24272.00,26114.00,28071.00,30161.00,33072.00,34005.00,7406.00,308651.00
Grenada,Total arrivals,Thousands,316.00,277.00,271.00,294.00,370.00,380.00,342.00,406.00,428.00,460.00,445.00,447.00,370.00,327.00,387.00,437.00,474.00,468.00,529.00,526.00,217.00,8171.00
Guatemala,Total arrivals,Thousands,826.00,835.00,884.00,880.00,1182.00,1316.00,1502.00,1628.00,1715.00,1311.00,1384.00,1434.00,1491.00,1516.00,1739.00,1865.00,1906.00,2120.00,2406.00,2560.00,594.00,31094.00
Guinea,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,46.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.60
Guinea-Bissau,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guyana,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.50,86.50
Haiti,Total arrivals,Thousands,445.00,499.00,482.00,518.00,385.00,480.00,558.00,868.00,758.00,826.00,793.00,946.00,959.00,1064.00,1127.60,1190.00,1153.00,1262.00,1333.00,938.00,322.00,16906.60
Honduras,Total arrivals,Thousands,689.00,672.00,788.00,887.00,1026.00,1118.00,1136.00,1309.00,1561.00,1589.00,1965.00,1852.00,1903.00,1857.00,2082.00,2093.00,2228.00,2144.00,2323.00,2315.00,669.00,32206.00
Hungary,Total arrivals,Thousands,31141.00,30679.00,31739.00,31412.00,33934.00,36173.00,38318.00,39379.00,39554.00,40624.00,39904.00,41304.00,43565.00,43611.00,45984.00,48345.00,52890.00,54962.00,57667.00,61397.00,31641.00,874223.00
Iceland,Total arrivals,Thousands,328.00,329.00,315.00,348.00,405.00,429.00,477.00,539.00,561.00,563.00,559.00,628.00,765.00,900.00,1102.00,1389.00,1891.00,2353.00,2488.00,2202.00,488.00,19059.00
India,Total arrivals,Thousands,2677.00,2591.00,2428.00,2774.00,3512.00,4038.00,4626.00,5244.00,5373.00,5295.00,5881.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44439.00
Indonesia,Total arrivals,Thousands,5064.00,5153.00,5033.00,4467.00,5321.00,5002.00,4871.00,5506.00,6234.00,6324.00,7003.00,7650.00,8044.00,8802.00,9435.00,10407.00,11519.00,14040.00,15810.00,16107.00,4053.00,165845.00
Iran,Total arrivals,Thousands,1342.00,1402.00,1585.00,1546.00,1659.00,1889.00,2735.00,2219.00,2034.00,2116.00,2938.00,3354.00,3834.00,4769.00,4968.00,5237.00,4942.00,4867.00,7295.00,9107.00,1550.00,71388.00
Iraq,Total arrivals,Thousands,78.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,864.00,1262.00,1518.00,1510.00,1111.00,892.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7362.00
Ireland,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Israel,Total arrivals,Thousands,2672.00,1219.00,862.10,0.00,1505.80,1916.00,1834.00,2294.00,3034.00,2740.00,3444.00,3362.00,3520.00,3540.00,3251.00,3109.00,3070.00,3863.00,4389.00,4905.00,887.00,55416.90
Italy,Total arrivals,Thousands,62702.00,60960.00,63561.00,63026.00,58480.00,59230.00,66353.00,70271.00,70719.00,71692.00,73225.00,75866.00,76293.00,76762.00,77694.00,81068.00,84925.00,89931.00,93228.60,95399.00,38419.00,1509804.60
Jamaica,Total arrivals,Thousands,2230.00,2117.00,2131.00,2483.00,2515.00,2615.00,3016.00,2880.00,2859.00,2753.00,2832.00,3077.00,3306.00,3274.00,3504.00,3692.00,3837.00,4276.00,4319.00,4233.00,1329.70,63278.70
Japan,Total arrivals,Thousands,4757.00,4772.00,5239.00,5212.00,6138.00,6728.00,7334.00,8347.00,8351.00,6790.00,8611.00,6219.00,8358.00,10364.00,13413.00,19737.00,24039.00,28691.00,31191.00,31881.00,4115.80,250287.80
Jordan,Total arrivals,Thousands,2700.00,3034.00,4677.00,4600.00,5587.00,5817.00,6573.00,6529.00,7100.00,7085.00,8078.00,6813.00,6314.00,5389.00,5327.00,4809.00,4236.00,4565.00,4922.00,5361.00,1240.00,110756.00
Kazakhstan,Total arrivals,Thousands,1683.00,2693.00,3678.00,3237.00,4291.00,4365.00,4707.00,5311.00,4117.00,3774.00,4097.00,5685.00,6163.00,6841.00,6333.00,6430.00,6509.00,7701.00,8789.00,8515.00,2035.00,106954.00
Kenya,Total arrivals,Thousands,1037.00,994.00,1001.00,1146.00,1361.00,1479.00,1601.00,1817.00,1203.00,1490.00,1609.00,1823.00,1711.00,1520.00,1350.00,1181.00,1340.00,1449.00,2025.00,2049.00,568.00,29754.00
North Korea,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
South Korea,Total arrivals,Thousands,5322.00,5147.00,5347.00,4753.00,5818.00,6023.00,6155.00,6448.00,6891.00,7818.00,8798.00,9795.00,11140.00,12176.00,14202.00,13232.00,17242.00,13336.00,15347.00,17503.00,2519.00,195012.00
Kuwait,Total arrivals,Thousands,1944.00,2072.00,2316.00,2602.00,3056.00,3474.00,3899.00,4482.00,4736.00,5088.00,5208.00,5574.00,5729.00,6217.00,6528.00,6941.00,7055.00,7407.00,8508.00,8565.00,2161.00,103562.00
Kyrgyzstan,Total arrivals,Thousands,173.00,199.00,183.00,342.00,398.00,319.00,766.00,1656.00,2379.00,2451.00,1224.00,3025.00,3393.00,4134.00,3791.00,4000.00,3853.00,4568.00,6947.00,8508.00,2079.00,54388.00
Laos,Total arrivals,Thousands,737.00,674.00,736.00,636.00,895.00,1095.00,1215.00,1624.00,1737.00,2008.00,2513.00,2724.00,3330.00,3779.00,4159.00,4684.00,4239.00,3869.00,4186.00,4791.00,886.40,50517.40
Latvia,Total arrivals,Thousands,1882.00,2061.00,2297.00,2524.00,3127.00,3791.00,4649.00,5209.00,5496.00,4727.00,5042.00,5538.00,5569.00,5822.00,6246.00,6842.00,6797.00,7726.00,7775.00,8342.00,3204.00,104666.00
Lebanon,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lesotho,Total arrivals,Thousands,302.00,295.00,287.00,329.00,304.00,304.00,357.00,300.00,293.00,344.00,426.00,398.00,423.00,433.00,1079.00,1082.00,1196.00,1137.00,1173.00,1142.00,0.00,11604.00
Liberia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Libya,Total arrivals,Thousands,963.00,953.00,858.00,958.00,0.00,0.00,125.00,106.00,760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4723.00
Liechtenstein,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,Total arrivals,Thousands,4092.00,4195.00,3999.00,3635.00,0.00,0.00,0.00,4251.00,4459.00,4001.00,4073.00,4504.00,4979.00,5264.00,5217.00,5048.00,5322.00,5590.00,6115.00,6150.00,2284.00,83178.00
Luxembourg,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
